epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time_sec
1,144.967725,0.895717,8.656953,0.941176,138.42
2,128.180539,0.912244,6.532552,0.965686,84.83
3,110.619271,0.924115,7.364162,0.95098,86.96
4,93.39069,0.936453,11.514758,0.916667,87.79
5,97.576179,0.932961,5.58032,0.968137,88.69
6,105.463647,0.92784,10.764805,0.926471,86.23
7,85.963391,0.941108,5.090354,0.948529,86.23
8,89.093281,0.939013,8.351587,0.936275,86.33
9,80.243803,0.945298,6.35701,0.955882,85.82
10,79.748964,0.946695,4.694986,0.965686,84.69
11,74.873904,0.950885,5.668655,0.955882,84.55
12,64.154044,0.957868,4.588362,0.960784,84.28
13,69.763023,0.956006,8.811374,0.936275,84.21
14,63.647617,0.957169,6.336815,0.958333,84.23
