epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time_sec
1,0.278817,0.496798,0.376342,0.5,1325.44
1,0.279348,0.502215,0.321153,0.49707,45.76
2,0.256255,0.529281,0.303813,0.505859,44.55
3,0.240808,0.589649,0.255411,0.567383,44.93
4,0.218141,0.655594,0.284717,0.547852,45.87
5,0.19158,0.712927,0.255954,0.594727,45.91
6,0.172068,0.757546,0.269827,0.566406,47.87
7,0.156218,0.79101,0.261907,0.577148,46.52
8,0.140587,0.826115,0.25656,0.581055,44.44
9,0.124271,0.850968,0.251446,0.611328,46.5
10,0.117105,0.857612,0.253278,0.588867,45.74
11,0.107592,0.878527,0.257143,0.592773,46.88
12,0.099044,0.897146,0.257986,0.584961,46.18
13,0.09349,0.906496,0.24887,0.614258,47.47
14,0.087314,0.915354,0.256421,0.583984,47.15
15,0.085394,0.916585,0.256318,0.614258,46.62
16,0.080387,0.926181,0.248752,0.614258,45.89
17,0.076379,0.930528,0.251196,0.615234,48.07
18,0.072599,0.932251,0.244673,0.623047,47.18
19,0.071575,0.939304,0.243324,0.630859,47.92
20,0.068953,0.947178,0.244758,0.631836,47.45
21,0.065331,0.945866,0.257521,0.599609,46.43
22,0.064055,0.94439,0.245233,0.623047,46.4
23,0.061108,0.953248,0.251824,0.606445,46.48
24,0.05827,0.957431,0.254829,0.578125,45.46
25,0.058971,0.955052,0.251124,0.578125,45.6
26,0.058176,0.955709,0.243735,0.621094,46.63
27,0.057032,0.961368,0.25133,0.607422,45.21
28,0.054535,0.964485,0.248595,0.613281,47.07
29,0.054322,0.959892,0.247349,0.597656,46.6
30,0.05225,0.963337,0.25162,0.597656,46.81
